File,uuid,serie,Geo Coordinate,Image Coordinate,width,height
09 Roermond 1849,ff422853-6854-40ca-901a-8a8ec5d1640b,"('EERSTE DRUK', '4')","[[ 5.8772441 51.1550503]
 [ 5.9992326 51.1544714]
 [ 5.9998444 51.200332 ]
 [ 5.877734  51.2009116]
 [ 5.8772441 51.1550503]]","[[[ 389. 4572.]]

 [[7221. 4611.]]

 [[7245.  440.]]

 [[ 413.  401.]]]",7608,5028
09a Supplementair Blad behorende bij het blad No 9 Roermond 1849,a0264825-093f-4b60-b1f8-10b3414fea15,"('EERSTE DRUK', '4')","[[ 5.8207484 51.1561413]
 [ 5.8780093 51.1559134]
 [ 5.8782526 51.1786604]
 [ 5.8209632 51.1788885]
 [ 5.8207484 51.1561413]]","[[[ 698. 2864.]]

 [[4008. 2906.]]

 [[4036.  708.]]

 [[ 725.  666.]]]",4704,3612
10 Horn 1849,a569986c-1f27-4794-9c47-1bdd4d51d7c0,"('EERSTE DRUK', '4')","[[ 5.9279508 51.2000265]
 [ 6.0432075 51.199433 ]
 [ 6.0438308 51.2429662]
 [ 5.9284646 51.2435604]
 [ 5.9279508 51.2000265]]","[[[ 477. 4349.]]

 [[6891. 4412.]]

 [[6929.  491.]]

 [[ 515.  428.]]]",7368,4872
11 Neer 1849,4d3bc557-7dc1-4bcb-9ca2-efbc378b951a,"('EERSTE DRUK', '4')","[[ 5.9721815 51.2430045]
 [ 6.0867247 51.2423719]
 [ 6.0874031 51.2867493]
 [ 5.9727489 51.2873828]
 [ 5.9721815 51.2430045]]","[[[ 472. 4590.]]

 [[6824. 4625.]]

 [[6847.  479.]]

 [[ 495.  444.]]]",7312,5088
12 Kessel 1850,d2c3b954-9304-45cf-b9b9-9245a9d1a74f,"('EERSTE DRUK', '4')","[[ 6.0301946 51.2865958]
 [ 6.1452662 51.285903 ]
 [ 6.1460234 51.3315548]
 [ 6.0308369 51.3322485]
 [ 6.0301946 51.2865958]]","[[[ 475. 4614.]]

 [[6919. 4663.]]

 [[6952.  491.]]

 [[ 507.  441.]]]",7400,5136
14 Velden 1850,8482b797-b74d-4812-885a-c363b6585448,"('EERSTE DRUK', '4')","[[ 6.104717  51.3778979]
 [ 6.2193806 51.3771354]
 [ 6.2202016 51.4221096]
 [ 6.1054249 51.422873 ]
 [ 6.104717  51.3778979]]","[[[ 239. 5074.]]

 [[6895. 5117.]]

 [[6928.   52.]]

 [[ 272.    8.]]]",7424,5148
15 Lottum 1850,b3f85566-7b71-4802-aeda-f1fbf15a7d59,"('EERSTE DRUK', '4')","[[ 6.1060549 51.4225293]
 [ 6.2211884 51.4217626]
 [ 6.2219871 51.4653643]
 [ 6.1067434 51.4661319]
 [ 6.1060549 51.4225293]]","[[[ 444. 4427.]]

 [[6829. 4492.]]

 [[6870.  493.]]

 [[ 484.  429.]]]",7296,4956
16 Broekhuizenvorst 1850,c99449a0-1bb4-4688-a9db-f3b7a1d5cb58,"('EERSTE DRUK', '4')","[[ 6.0851643 51.4659841]
 [ 6.2005249 51.465237 ]
 [ 6.2013306 51.5102787]
 [ 6.0858558 51.5110268]
 [ 6.0851643 51.4659841]]","[[[ 466. 4570.]]

 [[6826. 4634.]]

 [[6867.  500.]]

 [[ 508.  436.]]]",7320,5112
18 Vierlingsbeek 1850,c6fbb6ce-7342-4f49-888a-450d912022f0,"('EERSTE DRUK', '4')","[[ 5.9805297 51.5568733]
 [ 6.0951365 51.556235 ]
 [ 6.0958433 51.6015141]
 [ 5.9811222 51.6021531]
 [ 5.9805297 51.5568733]]","[[[ 470. 4524.]]

 [[6929. 4554.]]

 [[6948.  426.]]

 [[ 490.  396.]]]",7354,5056
19 Sambeek 1850,0abc8d0b-a313-4f87-96ca-071dff120633,"('EERSTE DRUK', '4')","[[ 5.9369675 51.6018051]
 [ 6.0603641 51.6011597]
 [ 6.0610044 51.6442408]
 [ 5.9374905 51.644887 ]
 [ 5.9369675 51.6018051]]","[[[ 307. 4356.]]

 [[7096. 4419.]]

 [[7133.  499.]]

 [[ 344.  435.]]]",7461,4896
20 Beugen 1851,8c1d05e1-8c76-4124-84b6-14484b3aa500,"('EERSTE DRUK', '4')","[[ 5.9092749 51.645032 ]
 [ 6.025556  51.6444553]
 [ 6.0261912 51.689463 ]
 [ 5.9097944 51.6900405]
 [ 5.9092749 51.645032 ]]","[[[ 431. 4545.]]

 [[6879. 4563.]]

 [[6891.  406.]]

 [[ 443.  389.]]]",7313,4984
21 Cuijk 1851,6bee706f-3272-4ce3-b42d-8e7087eaa866,"('EERSTE DRUK', '4')","[[ 5.8695385 51.6899618]
 [ 5.9859094 51.6894245]
 [ 5.9864813 51.7325771]
 [ 5.8699993 51.7331151]
 [ 5.8695385 51.6899618]]","[[[ 528. 4414.]]

 [[6985. 4452.]]

 [[7009.  484.]]

 [[ 552.  446.]]]",7305,4976
22 Groot Linden 1851,bfef2810-1cd9-415b-8942-eb96c02fe77b,"('EERSTE DRUK', '4')","[[ 5.7737491 51.7340225]
 [ 5.8972021 51.7335501]
 [ 5.89771   51.7784815]
 [ 5.7741341 51.7789545]
 [ 5.7737491 51.7340225]]","[[[ 481. 4581.]]

 [[7340. 4642.]]

 [[7377.  518.]]

 [[ 518.  457.]]]",7602,5168
22a Supplementair blad behorende bij het blad No 22 Groot Linden 1851,951265f5-99f7-40da-841b-d543ff3635ce,"('EERSTE DRUK', '4')","[[ 5.8967664 51.7333752]
 [ 5.9406324 51.7331762]
 [ 5.9410691 51.7687811]
 [ 5.8971684 51.7689803]
 [ 5.8967664 51.7333752]]","[[[ 654. 4239.]]

 [[3168. 4244.]]

 [[3174.  912.]]

 [[ 660.  907.]]]",3912,5064
23 Beers 1851,402dfeaa-1209-4b7a-9a7e-c98a36ca29b4,"('EERSTE DRUK', '4')","[[ 5.7726367 51.6803597]
 [ 5.8698874 51.679999 ]
 [ 5.8704612 51.7336929]
 [ 5.7730949 51.7340542]
 [ 5.7726367 51.6803597]]","[[[ 493. 5288.]]

 [[5870. 5301.]]

 [[5883.  389.]]

 [[ 506.  375.]]]",6368,5544
24 Zeeland 1851,1c037877-e82f-46db-8ae7-b86fbbc48406,"('EERSTE DRUK', '4')","[[ 5.6574312 51.6896376]
 [ 5.7728416 51.6893143]
 [ 5.7732323 51.7350691]
 [ 5.657705  51.7353928]
 [ 5.6574312 51.6896376]]","[[[ 331. 4599.]]

 [[6743. 4650.]]

 [[6777.  494.]]

 [[ 365.  442.]]]",7040,5112
25 Grave 1851,6cca0f30-9a7c-40c5-9a52-0a523aab01af,"('EERSTE DRUK', '4')","[[ 5.6508058 51.7347662]
 [ 5.7741247 51.7344237]
 [ 5.7745134 51.779737 ]
 [ 5.6510706 51.7800799]
 [ 5.6508058 51.7347662]]","[[[ 244. 4569.]]

 [[7016. 4639.]]

 [[7059.  494.]]

 [[ 287.  424.]]]",7240,5112
26 Ravestein 1852,db9ffb4d-878a-40b1-adca-0ae6770f89af,"('EERSTE DRUK', '4')","[[ 5.6228836 51.7798974]
 [ 5.7383825 51.7796082]
 [ 5.7387712 51.8294667]
 [ 5.6231446 51.8297563]
 [ 5.6228836 51.7798974]]","[[[ 404. 4985.]]

 [[6777. 5003.]]

 [[6791.  476.]]

 [[ 417.  457.]]]",7032,5424
27 Megen 1853,95ed6fd3-19de-4b4f-b98b-c0f11b94d005,"('EERSTE DRUK', '4')","[[ 5.5113628 51.803051 ]
 [ 5.6236585 51.8028782]
 [ 5.6238953 51.8479524]
 [ 5.5114872 51.8481254]
 [ 5.5113628 51.803051 ]]","[[[ 450. 4618.]]

 [[6617. 4663.]]

 [[6647.  516.]]

 [[ 480.  471.]]]",7128,5112
28 Lith 1853,d06a5b39-a3f5-40b7-952b-131bb90fd3d4,"('EERSTE DRUK', '4')","[[ 5.3910286 51.7946341]
 [ 5.5115077 51.7945682]
 [ 5.5116331 51.8399298]
 [ 5.3910326 51.8399958]
 [ 5.3910286 51.7946341]]","[[[ 455. 4597.]]

 [[7135. 4655.]]

 [[7171.  490.]]

 [[ 491.  432.]]]",7592,5124
29 Rossum 1853,b29c0eba-0038-460c-815b-920b2be4e141,"('EERSTE DRUK', '4')","[[ 5.2744974 51.7790128]
 [ 5.3910206 51.7790668]
 [ 5.3910243 51.8214024]
 [ 5.2743917 51.8213484]
 [ 5.2744974 51.7790128]]","[[[ 449. 4311.]]

 [[6820. 4386.]]

 [[6866.  484.]]

 [[ 494.  410.]]]",7040,4860
29a Supplementair blad Rossum No 29 1859,1741c39b-deb5-4762-a6e8-dd2e3e0bb308,"('EERSTE DRUK', '4')","[[ 5.3298909 51.7916525]
 [ 5.3764667 51.791666 ]
 [ 5.3764608 51.8168941]
 [ 5.3298589 51.8168806]
 [ 5.3298909 51.7916525]]","[[[1318. 3255.]]

 [[4019. 3237.]]

 [[4002.  849.]]

 [[1301.  868.]]]",5351,4048
30 Driel 1854,69ab6095-352d-4ebd-9359-d3e213196a69,"('EERSTE DRUK', '4')","[[ 5.3180097 51.731192 ]
 [ 5.4322167 51.7312036]
 [ 5.4322649 51.7793523]
 [ 5.3179361 51.7793406]
 [ 5.3180097 51.731192 ]]","[[[ 271. 4714.]]

 [[6640. 4794.]]

 [[6694.  497.]]

 [[ 325.  417.]]]",6816,5136
31 Ammerzoden 1854,f77fad8f-c9ef-4207-8ce8-107266c54f1c,"('EERSTE DRUK', '4')","[[ 5.2085084 51.7141649]
 [ 5.3178608 51.7142805]
 [ 5.3177913 51.7596383]
 [ 5.2083291 51.7595225]
 [ 5.2085084 51.7141649]]","[[[ 460. 4552.]]

 [[6537. 4617.]]

 [[6582.  441.]]

 [[ 505.  376.]]]",7008,5088
32 Heusden 1854,2f451ca3-6628-4245-942e-b1069679a265,"('EERSTE DRUK', '4')","[[ 5.0933809 51.7060504]
 [ 5.2095038 51.7062839]
 [ 5.2093285 51.7508921]
 [ 5.0930909 51.7506582]
 [ 5.0933809 51.7060504]]","[[[ 476. 4598.]]

 [[7079. 4606.]]

 [[7085.  327.]]

 [[ 482.  318.]]]",7368,5040
33 Wijk 1855,b2b46605-f722-49ee-8669-bc67b79b834a,"('EERSTE DRUK', '4')","[[ 5.0933489 51.7508203]
 [ 5.209709  51.7510541]
 [ 5.2095321 51.796051 ]
 [ 5.0930559 51.7958169]
 [ 5.0933489 51.7508203]]","[[[ 534. 4521.]]

 [[6800. 4575.]]

 [[6835.  555.]]

 [[ 569.  501.]]]",7328,5112
33a Supplement behorende bij Blad No 33 Wijk,54bc652e-7e2f-482b-870b-e39b39880241,"('EERSTE DRUK', '4')","[[ 5.0936165 51.795907 ]
 [ 5.1445967 51.7960235]
 [ 5.1444898 51.8159083]
 [ 5.0934871 51.8157918]
 [ 5.0936165 51.795907 ]]","[[[1040. 2889.]]

 [[3982. 2885.]]

 [[3980.  941.]]

 [[1038.  945.]]]",4992,3888
34 Woudrichem 1855 1856,4d8cd64f-8ec4-481c-9273-d9d9291bf552,"('EERSTE DRUK', '4')","[[ 4.9921112 51.773301 ]
 [ 5.0942143 51.7736005]
 [ 5.0938632 51.8276233]
 [ 4.9916378 51.8273234]
 [ 4.9921112 51.773301 ]]","[[[ 556. 5007.]]

 [[6041. 5043.]]

 [[6073.  254.]]

 [[ 588.  218.]]]",6561,5336
01 Lage Zwaluwe 1858,ec4a2d27-725e-45c5-8faf-768b4244cdf5,"('EERSTE DRUK', '5')","[[ 4.5942479 51.6782904]
 [ 4.7103078 51.6790187]
 [ 4.7094908 51.7335745]
 [ 4.5932907 51.732845 ]
 [ 4.5942479 51.6782904]]","[[[ 369. 5119.]]

 [[6804. 5153.]]

 [[6829.  247.]]

 [[ 395.  214.]]]",7192,5400
02 Hooge Zwaluwe 1858,7a9cdbbf-cc4d-4e76-ba1b-c14d00e44765,"('EERSTE DRUK', '5')","[[ 4.7100497 51.67871  ]
 [ 4.82609   51.6793234]
 [ 4.8254141 51.7337722]
 [ 4.709234  51.7331577]
 [ 4.7100497 51.67871  ]]","[[[ 362. 5034.]]

 [[6793. 5069.]]

 [[6820.  176.]]

 [[ 389.  142.]]]",7175,5296
04 s Gravendeel 1858,1733b3ef-a761-4009-aa70-dce520f31cbe,"('EERSTE DRUK', '5')","[[ 4.5936001 51.7323851]
 [ 4.7108075 51.7331201]
 [ 4.7099905 51.7876279]
 [ 4.5926415 51.7868918]
 [ 4.5936001 51.7323851]]","[[[ 303. 5020.]]

 [[6610. 5042.]]

 [[6627.  224.]]

 [[ 320.  202.]]]",6792,5196
05 Lagenhof 1857,e189ae24-8412-4c18-b189-b8b76c3649ab,"('EERSTE DRUK', '5')","[[ 4.70941   51.7327705]
 [ 4.82659   51.7333895]
 [ 4.8259166 51.7876052]
 [ 4.7085957 51.7869852]
 [ 4.70941   51.7327705]]","[[[ 377. 5125.]]

 [[6811. 5152.]]

 [[6832.  227.]]

 [[ 397.  200.]]]",7184,5388
06 Nieuwe Dijk 1857,7c9db975-a301-4302-81d6-e8990c7198c4,"('EERSTE DRUK', '5')","[[ 4.8259186 51.7324052]
 [ 4.9425754 51.7329057]
 [ 4.9420335 51.7879067]
 [ 4.8252345 51.7874054]
 [ 4.8259186 51.7324052]]","[[[ 365. 5112.]]

 [[6803. 5172.]]

 [[6849.  266.]]

 [[ 411.  206.]]]",7184,5880
01 Gouda 1860,5edeefb0-54de-4a68-a71f-8ef0b8177de1,"('EERSTE DRUK', '6')","[[ 4.6218359 51.9887806]
 [ 4.7383119 51.9894805]
 [ 4.7376593 52.0345344]
 [ 4.6210663 52.0338336]
 [ 4.6218359 51.9887806]]","[[[ 288. 4443.]]

 [[6718. 4494.]]

 [[6750.  371.]]

 [[ 321.  319.]]]",7006,4920
02 Nieuwerkerk 1860,729d3131-b444-4a57-beb4-ffe3d28b4911,"('EERSTE DRUK', '6')","[[ 4.5926669 51.943941 ]
 [ 4.7098182 51.9446742]
 [ 4.7091408 51.9895314]
 [ 4.5918724 51.9887972]
 [ 4.5926669 51.943941 ]]","[[[ 343. 4473.]]

 [[6778. 4525.]]

 [[6812.  418.]]

 [[ 377.  365.]]]",7144,4920
03 Ouderkerk 1860,b1f228cd-4138-4add-95cd-0d68d40861c5,"('EERSTE DRUK', '6')","[[ 4.5422162 51.8983573]
 [ 4.6590071 51.8991391]
 [ 4.6582651 51.944904 ]
 [ 4.5413553 51.9441212]
 [ 4.5422162 51.8983573]]","[[[ 354. 4481.]]

 [[6796. 4522.]]

 [[6822.  401.]]

 [[ 381.  360.]]]",7144,4908
00 Lengteprofl Bladverd rivieren Bovenrijn Waal Merwede Noord DordscheKil OudeMaas Spui NieuweMaas 1888,7d5ed445-c771-4c68-b9bb-ddaa4465b338,"('EERSTE HERZIENING', '1')","[[ 4.5931976 51.831192 ]
 [ 4.7098877 51.8319233]
 [ 4.7092029 51.8774225]
 [ 4.5923949 51.8766902]
 [ 4.5931976 51.831192 ]]","[[[ 130. 4974.]]

 [[7277. 5036.]]

 [[7319.  215.]]

 [[ 172.  153.]]]",7472,5148
01 Schenkenschans 1874,40531af5-912e-46bc-9d3d-5b1f3ecac8d7,"('EERSTE HERZIENING', '1')","[[ 6.0441234 51.8305361]
 [ 6.1711468 51.8297562]
 [ 6.1719698 51.8769859]
 [ 6.0448131 51.8777669]
 [ 6.0441234 51.8305361]]","[[[ 454. 4708.]]

 [[7476. 4737.]]

 [[7493.  556.]]

 [[ 471.  527.]]]",7928,5400
02 Kekerdom 1873,8461a864-23b7-4647-b990-45de4210ea8e,"('EERSTE HERZIENING', '1')","[[ 5.9281628 51.8440179]
 [ 6.0449939 51.8434211]
 [ 6.0456596 51.888933 ]
 [ 5.9287103 51.8895305]
 [ 5.9281628 51.8440179]]","[[[ 500. 4665.]]

 [[7003. 4709.]]

 [[7031.  523.]]

 [[ 529.  479.]]]",7520,5232
03 Nijmegen 1873,a6c97719-94e8-4c6b-b3f6-82a16801db72,"('EERSTE HERZIENING', '1')","[[ 5.8124292 51.8451836]
 [ 5.9289155 51.8447036]
 [ 5.9294588 51.8898009]
 [ 5.8128557 51.8902814]
 [ 5.8124292 51.8451836]]","[[[ 251. 4642.]]

 [[6757. 4682.]]

 [[6783.  492.]]

 [[ 277.  452.]]]",7416,5160
04 Herveld 1873,0ff965f3-7899-41fe-acce-2bcc5a3b3445,"('EERSTE HERZIENING', '1')","[[ 5.6961897 51.8604031]
 [ 5.8133694 51.8600361]
 [ 5.813799  51.9053428]
 [ 5.6965012 51.9057103]
 [ 5.6961897 51.8604031]]","[[[ 659. 4826.]]

 [[7159. 4875.]]

 [[7190.  682.]]

 [[ 691.  634.]]]",7848,5544
05 Dodewaard 1873,471bc40b-eea3-4620-bb5a-9ddf1a5dba71,"('EERSTE HERZIENING', '1')","[[ 5.5806488 51.8727591]
 [ 5.6969816 51.8725097]
 [ 5.6972937 51.9177713]
 [ 5.5808438 51.918021 ]
 [ 5.5806488 51.8727591]]","[[[ 676. 4786.]]

 [[7176. 4812.]]

 [[7193.  628.]]

 [[ 693.  602.]]]",7864,5484
06 Leeuwen 1874,fb76fbb6-1273-40c0-8c69-6d05f33588ea,"('EERSTE HERZIENING', '1')","[[ 5.4643458 51.8735738]
 [ 5.5810561 51.873439 ]
 [ 5.5812499 51.9183312]
 [ 5.4644231 51.9184662]
 [ 5.4643458 51.8735738]]","[[[ 665. 4828.]]

 [[7173. 4854.]]

 [[7190.  666.]]

 [[ 682.  640.]]]",7856,5496
07 Tiel 1874,b3eec652-c0da-445f-a3d5-405ac92583d7,"('EERSTE HERZIENING', '1')","[[ 5.3768241 51.8396022]
 [ 5.464705  51.839577 ]
 [ 5.4648149 51.9031769]
 [ 5.3768097 51.9032022]
 [ 5.3768241 51.8396022]]","[[[ 203. 6213.]]

 [[5190. 6245.]]

 [[5227.  508.]]

 [[ 239.  476.]]]",5472,6712
08 Varik 1874,b3091828-3a4f-48ec-a0d6-37febbdc3934,"('EERSTE HERZIENING', '1')","[[ 5.3471976 51.7857183]
 [ 5.4640672 51.7856998]
 [ 5.4641603 51.8401423]
 [ 5.3471495 51.8401609]
 [ 5.3471976 51.7857183]]","[[[ 448. 5204.]]

 [[6925. 5217.]]

 [[6935.  267.]]

 [[ 458.  255.]]]",7376,5496
09 Zaltbommel 1875,016a1ed2-2a7f-4428-88de-a39b35782781,"('EERSTE HERZIENING', '1')","[[ 5.2313897 51.7861376]
 [ 5.3479395 51.7862343]
 [ 5.3478923 51.8406905]
 [ 5.2312016 51.8405935]
 [ 5.2313897 51.7861376]]","[[[ 657. 5210.]]

 [[7152. 5222.]]

 [[7161.  251.]]

 [[ 667.  238.]]]",7800,5532
10 Zuilichem 1875,cb8a7ebf-c96e-4537-b192-d024e87b2045,"('EERSTE HERZIENING', '1')","[[ 5.1154263 51.7955117]
 [ 5.2322123 51.795724 ]
 [ 5.2320565 51.8410338]
 [ 5.1151531 51.8408212]
 [ 5.1154263 51.7955117]]","[[[ 654. 4845.]]

 [[7168. 4876.]]

 [[7188.  684.]]

 [[ 674.  652.]]]",7840,5544
11 Brakel 1875,16b6cb63-65de-444b-802d-740fa0027b48,"('EERSTE HERZIENING', '1')","[[ 5.0428142 51.7689588]
 [ 5.1160864 51.7691511]
 [ 5.1156534 51.8411403]
 [ 5.0422642 51.8409477]
 [ 5.0428142 51.7689588]]","[[[ 573. 7033.]]

 [[4779. 7063.]]

 [[4827.  561.]]

 [[ 621.  530.]]]",5460,7864
12 Gorinchem 1884,3f85ddee-c466-4d11-9976-ac18ae9f0119,"('EERSTE HERZIENING', '1')","[[ 4.9267694 51.7867684]
 [ 5.0437889 51.7871692]
 [ 5.0433747 51.8415296]
 [ 4.926214  51.8411281]
 [ 4.9267694 51.7867684]]","[[[ 844. 5032.]]

 [[7316. 5042.]]

 [[7324.   68.]]

 [[ 852.   58.]]]",8128,5520
13 Werkendam 1877,0100efad-f89f-4641-964d-45465f81a5fe,"('EERSTE HERZIENING', '1')","[[ 4.8546737 51.7680736]
 [ 4.9279252 51.7683833]
 [ 4.9271804 51.8414608]
 [ 4.8538101 51.8411505]
 [ 4.8546737 51.7680736]]","[[[ 262. 7124.]]

 [[5233. 7141.]]

 [[5256.  669.]]

 [[ 285.  652.]]]",5532,7832
14 Giessendam 1877,94d89ce0-cf52-4ca2-9fd3-8c331d0ec0df,"('EERSTE HERZIENING', '1')","[[ 4.78192   51.7599116]
 [ 4.8554647 51.7602681]
 [ 4.854613  51.8324679]
 [ 4.7809505 51.8321106]
 [ 4.78192   51.7599116]]","[[[ 419. 6679.]]

 [[4618. 6709.]]

 [[4663.  218.]]

 [[ 465.  189.]]]",5148,7000
15 Sliedrecht 1878,fef688e8-ead5-4475-a932-5a7c0d6826a7,"('EERSTE HERZIENING', '1')","[[ 4.7096017 51.7597292]
 [ 4.7828749 51.7601297]
 [ 4.7819041 51.8325369]
 [ 4.7085131 51.8321356]
 [ 4.7096017 51.7597292]]","[[[ 482. 6991.]]

 [[4642. 7022.]]

 [[4690.  529.]]

 [[ 530.  498.]]]",5160,7456
16 Dordrecht tweede uitgave 1890,a422b37a-5d7c-4e55-9f74-0b6827750f74,"('EERSTE HERZIENING', '1')","[[ 4.5937427 51.7863535]
 [ 4.7100347 51.7870824]
 [ 4.709351  51.8325793]
 [ 4.5929417 51.8318493]
 [ 4.5937427 51.7863535]]","[[[ 673. 4803.]]

 [[7146. 4810.]]

 [[7151.  681.]]

 [[ 678.  675.]]]",7840,5472
17 Heerjansdam 1878,0153974a-f352-4645-9844-321b5edb2c90,"('EERSTE HERZIENING', '1')","[[ 4.5209896 51.7863984]
 [ 4.5945484 51.7869185]
 [ 4.5932798 51.8589898]
 [ 4.5196033 51.8584686]
 [ 4.5209896 51.7863984]]","[[[ 432. 6912.]]

 [[4619. 6952.]]

 [[4682.  436.]]

 [[ 496.  395.]]]",5172,7320
17 Krimpen aan de Lek 1879,cb13a6e2-9902-4d30-b491-90f310c80256,"('EERSTE HERZIENING', '1')","[[ 4.5348802 51.8761196]
 [ 4.6517292 51.8769093]
 [ 4.650982  51.9225764]
 [ 4.5340142 51.9217856]
 [ 4.5348802 51.8761196]]","[[[ 396. 4616.]]

 [[6920. 4666.]]

 [[6953.  480.]]

 [[ 429.  430.]]]",7032,5136
18 Heinenoord 1879,dc49181b-8cf3-4f71-bb18-1a381f72b512,"('EERSTE HERZIENING', '1')","[[ 4.4485014 51.7950082]
 [ 4.5219357 51.7955728]
 [ 4.5205438 51.8679931]
 [ 4.4469915 51.8674273]
 [ 4.4485014 51.7950082]]","[[[ 638. 7112.]]

 [[4793. 7139.]]

 [[4835.  654.]]

 [[ 679.  627.]]]",5496,7816
18 Moerdijk 1885,df87cac9-02c6-45bd-bb7d-85b931eb6eff,"('EERSTE HERZIENING', '1')","[[ 4.5944225 51.6785518]
 [ 4.7105703 51.6792804]
 [ 4.7097572 51.7335978]
 [ 4.5934698 51.732868 ]
 [ 4.5944225 51.6785518]]","[[[ 672. 5232.]]

 [[7168. 5268.]]

 [[7196.  318.]]

 [[ 700.  282.]]]",7832,5508
20 Hoogvliet 1880,e770c771-c1fa-4351-84f0-bdd3a6f584dc,"('EERSTE HERZIENING', '1')","[[ 4.3036774 51.8125832]
 [ 4.3762922 51.8132312]
 [ 4.3746767 51.885138 ]
 [ 4.3019459 51.8844886]
 [ 4.3036774 51.8125832]]","[[[ 515. 6920.]]

 [[4636. 6952.]]

 [[4687.  472.]]

 [[ 566.  440.]]]",5220,7464
21 Vlaardingen 1881,cb128e2a-6560-45cd-9243-865d7ae2d4b1,"('EERSTE HERZIENING', '1')","[[ 4.3025033 51.8829458]
 [ 4.419561  51.8839684]
 [ 4.4185559 51.9306417]
 [ 4.3013767 51.9296178]
 [ 4.3025033 51.8829458]]","[[[ 336. 4640.]]

 [[6852. 4695.]]

 [[6887.  509.]]

 [[ 371.  454.]]]",7232,5208
22 Maassluis 1880,184bc2c5-aede-4289-bec0-bb06e6b59ad6,"('EERSTE HERZIENING', '1')","[[ 4.2156796 51.8568586]
 [ 4.3035913 51.8577028]
 [ 4.3018498 51.9299241]
 [ 4.2137968 51.9290781]
 [ 4.2156796 51.8568586]]","[[[ 218. 7109.]]

 [[5186. 7132.]]

 [[5216.  664.]]

 [[ 249.  641.]]]",5532,7800
23 Brielle 1880,3cbf145c-32e9-4f50-89f4-959691fecbb7,"('EERSTE HERZIENING', '1')","[[ 4.1430962 51.8564835]
 [ 4.2166515 51.8572398]
 [ 4.21477   51.9294693]
 [ 4.1410965 51.9287114]
 [ 4.1430962 51.8564835]]","[[[ 540. 7037.]]

 [[4709. 7075.]]

 [[4768.  606.]]

 [[ 599.  568.]]]",5364,7648
25 Hoek van Holland 1881,a870fc0e-166e-49fe-9f50-eeb1ed434b55,"('EERSTE HERZIENING', '1')","[[ 4.0694696 51.9173546]
 [ 4.1431614 51.9181577]
 [ 4.14112   51.9917617]
 [ 4.0673073 51.9909569]
 [ 4.0694696 51.9173546]]","[[[ 575. 7064.]]

 [[5192. 7080.]]

 [[5214.  581.]]

 [[ 598.  565.]]]",5340,7680
S2 Supplementsblad No 2 Pelser en Noord Alblasserdam 1879,70813fa3-b42f-4201-9abf-0dad563fd545,"('EERSTE HERZIENING', '1')","[[ 4.5931976 51.831192 ]
 [ 4.7098877 51.8319233]
 [ 4.7092029 51.8774225]
 [ 4.5923949 51.8766902]
 [ 4.5931976 51.831192 ]]","[[[ 679. 4781.]]

 [[7156. 4823.]]

 [[7183.  669.]]

 [[ 706.  627.]]]",7824,5496
00 Lengteprofl Bladverd herz krt riv Bovenrijn Nederrijn Lek NieuweMaas Scheur NieuweWaterweg 1888,89b39aa8-1e73-4d46-b133-c5a9afd45a68,"('EERSTE HERZIENING', '2')","[[ 4.5351577 51.8761973]
 [ 4.6512371 51.8769819]
 [ 4.6504975 51.9221516]
 [ 4.5343014 51.921366 ]
 [ 4.5351577 51.8761973]]","[[[ 162. 5002.]]

 [[7333. 5062.]]

 [[7373.  222.]]

 [[ 203.  162.]]]",7552,5208
01 Schenkenschans 1874,2c4db6dc-aa9b-4c6c-9bba-a87243ee756a,"('EERSTE HERZIENING', '2')","[[ 6.0441234 51.8305361]
 [ 6.1711468 51.8297562]
 [ 6.1719698 51.8769859]
 [ 6.0448131 51.8777669]
 [ 6.0441234 51.8305361]]","[[[ 477. 4646.]]

 [[7489. 4655.]]

 [[7495.  471.]]

 [[ 483.  463.]]]",8000,5364
02 Kekerdom 1873,379b5dd0-ab41-47f1-8587-a27ef259d8d7,"('EERSTE HERZIENING', '2')","[[ 5.9281628 51.8440179]
 [ 6.0449939 51.8434211]
 [ 6.0456596 51.888933 ]
 [ 5.9287103 51.8895305]
 [ 5.9281628 51.8440179]]","[[[ 569. 4731.]]

 [[7061. 4742.]]

 [[7068.  569.]]

 [[ 575.  558.]]]",7640,5328
03 Angeren 1876,4ff899b2-d810-479d-ba48-4e52ad603385,"('EERSTE HERZIENING', '2')","[[ 5.9154033 51.8806019]
 [ 6.0605876 51.879859 ]
 [ 6.0615338 51.9429565]
 [ 5.9161456 51.9437008]
 [ 5.9154033 51.8806019]]","[[[ 539. 4813.]]

 [[7041. 4879.]]

 [[7083.  653.]]

 [[ 582.  588.]]]",7664,5376
04 Westervoort 1877,b0e6b65a-9582-4b75-86d3-d94ed68adb93,"('EERSTE HERZIENING', '2')","[[ 5.9015193 51.925259 ]
 [ 6.0470679 51.9245318]
 [ 6.047974  51.9861121]
 [ 5.9022256 51.9868406]
 [ 5.9015193 51.925259 ]]","[[[ 569. 4596.]]

 [[7063. 4623.]]

 [[7081.  446.]]

 [[ 587.  418.]]]",7672,5196
