File,uuid,serie,Geo Coordinate,Image Coordinate,width,height
17 Poortugaal 1834,ee152a0b-15ea-43aa-9a80-67eb81c31229,"('EERSTE DRUK', '1')","[[ 4.3036446 51.8184401]
 [ 4.4199266 51.8194562]
 [ 4.4189506 51.8648855]
 [ 4.3025512 51.8638681]
 [ 4.3036446 51.8184401]]","[[[ 449. 4564.]]

 [[6790. 4599.]]

 [[6813.  500.]]

 [[ 472.  465.]]]",7280,5040
01 Schenkenschans 1830,56e4f768-2a82-41a1-bca5-742eb283b207,"('EERSTE DRUK', '2')","[[ 6.0444895 51.8323887]
 [ 6.1699907 51.8316185]
 [ 6.1707722 51.8765341]
 [ 6.0451458 51.8773053]
 [ 6.0444895 51.8323887]]","[[[ 254. 4581.]]

 [[7178. 4624.]]

 [[7203.  489.]]

 [[ 280.  446.]]]",7376,4992
02 Kekerdom 1830,fbeb7327-85c4-49fa-a327-066c313d6bd8,"('EERSTE DRUK', '2')","[[ 5.9281703 51.8440855]
 [ 6.0460169 51.8434831]
 [ 6.0466783 51.8886282]
 [ 5.9287134 51.8892314]
 [ 5.9281703 51.8440855]]","[[[ 397. 4618.]]

 [[6798. 4645.]]

 [[6816.  526.]]

 [[ 415.  498.]]]",7216,5168
02a Supplementair blad behorende bij het blad No 2 Kekerdom,3d56025e-875f-4e3b-9056-264bf9011e21,"('EERSTE DRUK', '2')","[[ 5.9418871 51.8215629]
 [ 6.0005742 51.8212708]
 [ 6.0008858 51.8441438]
 [ 5.9421689 51.8444362]
 [ 5.9418871 51.8215629]]","[[[ 248. 2443.]]

 [[3571. 2421.]]

 [[3556.  238.]]

 [[ 234.  260.]]]",3792,2724
03 Angeren 1834,8878a77c-30e3-4a7e-8be6-bd949d617dca,"('EERSTE DRUK', '2')","[[ 5.929414  51.8891606]
 [ 6.0457125 51.8885661]
 [ 6.046376  51.9338133]
 [ 5.9299603 51.9344086]
 [ 5.929414  51.8891606]]","[[[ 435. 4543.]]

 [[6816. 4609.]]

 [[6858.  479.]]

 [[ 478.  413.]]]",7256,5076
04 Westervoort 1833,c312474a-0831-48ce-9768-96cf4b6c20ec,"('EERSTE DRUK', '2')","[[ 5.9263358 51.9338896]
 [ 6.0425642 51.9332989]
 [ 6.0432295 51.9788355]
 [ 5.9268832 51.979427 ]
 [ 5.9263358 51.9338896]]","[[[ 437. 4544.]]

 [[6829. 4625.]]

 [[6882.  456.]]

 [[ 490.  375.]]]",7312,5088
05 Arnhem 1838,4f093e9a-c544-4e24-8280-13ecf960de74,"('EERSTE DRUK', '2')","[[ 5.8149246 51.9449143]
 [ 5.9263774 51.9444558]
 [ 5.9269234 51.9898629]
 [ 5.8153578 51.9903219]
 [ 5.8149246 51.9449143]]","[[[ 446. 4576.]]

 [[6630. 4599.]]

 [[6645.  461.]]

 [[ 461.  439.]]]",7069,5080
06 Heteren 1838,e781a53a-0e70-4697-ac2e-abb05e563d87,"('EERSTE DRUK', '2')","[[ 5.6977963 51.9454861]
 [ 5.8148734 51.9451183]
 [ 5.8153111 51.9910068]
 [ 5.6981142 51.9913751]
 [ 5.6977963 51.9454861]]","[[[ 453. 4569.]]

 [[6851. 4646.]]

 [[6902.  497.]]

 [[ 504.  419.]]]",7327,5088
07 Opheusden 1838,ba06449c-a377-4981-a291-220b5b949e50,"('EERSTE DRUK', '2')","[[ 5.581706  51.9285762]
 [ 5.6981169 51.9283257]
 [ 5.6984294 51.9733973]
 [ 5.5819015 51.9736481]
 [ 5.581706  51.9285762]]","[[[ 207. 4351.]]

 [[6561. 4374.]]

 [[6577.  246.]]

 [[ 222.  222.]]]",6792,4584
08 Rheenen 1838,3d263b5e-d7dd-4507-b3ff-2a1e6a34966c,"('EERSTE DRUK', '2')","[[ 5.4650622 51.947155 ]
 [ 5.5820576 51.9470191]
 [ 5.5822937 52.0012986]
 [ 5.4651567 52.0014347]
 [ 5.4650622 51.947155 ]]","[[[ 422. 5064.]]

 [[6806. 5078.]]

 [[6818.  164.]]

 [[ 434.  149.]]]",7224,5244
08a Supplementair blad behorende bij het blad No 8 Rhenen,a202809c-a3ce-421e-a4c1-f612b405920d,"('EERSTE DRUK', '2')","[[ 5.5234475 51.9287984]
 [ 5.5816305 51.9287165]
 [ 5.5817105 51.9471895]
 [ 5.5235036 51.9472715]
 [ 5.5234475 51.9287984]]","[[[ 473. 2262.]]

 [[3806. 2293.]]

 [[3823.  485.]]

 [[ 490.  454.]]]",4296,2772
09 Maurik 1839,258b3283-aa57-4dcb-b185-de7bc10c51ed,"('EERSTE DRUK', '2')","[[ 5.3490576 51.9567431]
 [ 5.4654256 51.9567231]
 [ 5.4655043 52.0017286]
 [ 5.3490194 52.0017486]
 [ 5.3490576 51.9567431]]","[[[ 463. 4595.]]

 [[6861. 4634.]]

 [[6887.  495.]]

 [[ 489.  456.]]]",7327,5128
10 Beusichem 1839,58cacd2b-a668-4d5c-9405-de8b16ec832e,"('EERSTE DRUK', '2')","[[ 5.232368  51.941696 ]
 [ 5.3495558 51.9417917]
 [ 5.3495179 51.9871675]
 [ 5.2322116 51.9870716]
 [ 5.232368  51.941696 ]]","[[[ 450. 4593.]]

 [[6873. 4650.]]

 [[6910.  492.]]

 [[ 487.  435.]]]",7313,5112
11 Everdingen 1839 1842,00037012-9ce9-4bdd-b358-f3388a1409d7,"('EERSTE DRUK', '2')","[[ 5.1161428 51.954389 ]
 [ 5.233245  51.9546004]
 [ 5.2330668 52.0065518]
 [ 5.1158289 52.00634  ]
 [ 5.1161428 51.954389 ]]","[[[ 103. 1773.]]

 [[6346. 1859.]]

 [[6370.  184.]]

 [[ 126.   98.]]]",6440,4848
12 Vianen 1837,b940fcf5-4134-4a61-8700-01267da77f26,"('EERSTE DRUK', '2')","[[ 5.0000415 51.9617295]
 [ 5.1167239 51.9620556]
 [ 5.1164483 52.0077573]
 [ 4.9996469 52.0074308]
 [ 5.0000415 51.9617295]]","[[[  43. 4948.]]

 [[6676. 4924.]]

 [[6657.   37.]]

 [[  24.   61.]]]",6696,4956
13 Ameiden 1837,bebf2aae-2b4c-4a76-a1b3-0534d7b3d991,"('EERSTE DRUK', '2')","[[ 4.8835917 51.9341116]
 [ 5.0004157 51.9345538]
 [ 4.9999993 51.9828627]
 [ 4.8830496 51.9824198]
 [ 4.8835917 51.9341116]]","[[[ 320. 4637.]]

 [[6721. 4670.]]

 [[6743.  426.]]

 [[ 342.  392.]]]",7056,5016
14 Schoonhoven 1836,265740d7-cb3c-4596-946c-9576a41f7917,"('EERSTE DRUK', '2')","[[ 4.7675189 51.9087652]
 [ 4.8840555 51.9093218]
 [ 4.883547  51.9547116]
 [ 4.7668926 51.9541542]
 [ 4.7675189 51.9087652]]","[[[ 199. 4320.]]

 [[6586. 4337.]]

 [[6597.  179.]]

 [[ 210.  161.]]]",6733,4472
